Date,Open,High,Low,Close,Adj Close,Volume
2019-11-06,165.270004,165.774994,164.759995,165.440002,165.440002,252900
2019-11-07,165.990005,166.199997,164.860001,164.960007,164.960007,267000
2019-11-08,165.460007,165.740005,164.649994,164.899994,164.899994,290200
2019-11-11,163.800003,164.740005,163.539993,164.399994,164.399994,295400
2019-11-12,164.710007,165.309998,163.589996,165.020004,165.020004,256100
2019-11-13,163.990005,164.779999,163.389999,163.860001,163.860001,318900
2019-11-14,163.949997,165.889999,163.619995,165.470001,165.470001,301700
2019-11-15,166.910004,167.500000,166.610001,167.000000,167.000000,209600
2019-11-18,165.710007,166.000000,165.009995,165.350006,165.350006,204500
2019-11-19,165.699997,165.960007,163.729996,164.220001,164.220001,241400
2019-11-20,166.009995,166.350006,163.649994,164.410004,164.410004,260900
2019-11-21,165.770004,166.289993,165.270004,165.410004,165.410004,293600
2019-11-22,166.460007,166.550003,164.820007,165.250000,165.250000,173500
2019-11-25,166.649994,167.779999,166.270004,167.660004,167.660004,238600
2019-11-26,168.449997,170.289993,168.339996,170.039993,170.039993,314600
2019-11-27,170.779999,171.399994,170.419998,170.880005,170.880005,174600
2019-11-29,168.529999,169.494995,168.070007,168.270004,168.270004,147700
2019-12-02,167.190002,167.270004,164.119995,165.110001,165.110001,384000
2019-12-03,167.179993,168.070007,166.119995,168.020004,168.020004,440500
2019-12-04,168.860001,169.119995,167.429993,167.619995,167.619995,201000
2019-12-05,168.429993,168.699997,166.735001,166.940002,166.940002,319000
2019-12-06,167.589996,167.889999,165.830002,166.169998,166.169998,165200
2019-12-09,163.800003,164.679993,163.229996,163.679993,163.679993,279700
2019-12-10,165.029999,165.850006,164.729996,165.429993,165.429993,91586
